credit_provider_name;trading_names;registration_status;effective_date
"VILJOENSKROON CASH WISE CC";"";"voluntarily_cancelled";"2016/02/15"
"TOP TEN CASH LOANS BK";"TOP TEN CASH LOANS & BLUE CROWN FINANCE";"voluntarily_cancelled";"2009/07/01"
"BLUE IMPALA FINANCIAL SERVICES (PTY) LTD";"";"voluntarily_cancelled";"2012/07/12"
"MAGNUM MEUBELS CC";"";"voluntarily_cancelled";"2012/03/07"
"GIBELA TRADE AND INVEST 1242 CC";"GIBELA CASH LOANS";"voluntarily_cancelled";"2011/10/20"
"CHEETAH FINANCE CC";"";"voluntarily_cancelled";"2009/12/08"
"AMADWALA TRADING 223 CC";"TEXAS FINANCE";"voluntarily_cancelled";"2017/07/03"
"ASCENDANT CASHFLOW SOLUTIONS (PTY) LTD";"";"voluntarily_cancelled";"2015/06/26"
"SQUARE CASH LOANS CC";"CASH WISE";"voluntarily_cancelled";"2009/05/11"
"RORQUAL CONSULTANTS CC";"";"lapsed";""
"BOOMERANG TRADING 10 (PTY) LTD";"";"lapsed";"2014/03/31"
"FINTEC SOLUTIONS (PTY) LTD";"";"lapsed";""
"LOAN PROVIDERS CC";"";"lapsed";"2014/03/31"
